제목,댓글,내용
엔소 끝까지 개미털어서 수수료챙기겠다는 ㅋㅋㅋㅋㅋ,,우리 거래소의 굳은의짘ㅋㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋ레이디움 스테이터스 끝까지 개설거지 ㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ웃음벨이노ㅓ
ㅋㅋㅋㅋ싹다 설거지해부려라 ㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그래야 이 병신들일하러가제 ㅋㅋㅋㅋㅇ
난 이제 취직했는데~~개병신 백수들아 ㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋ잘가라잇멀리안간다코인판으로 승부볼라했제?절대안대징ㅋㅋㅋ2
속보) 레이디움 지케이세력 붙음!!!!!,,- dc official App
"정부 당국, 비트코인 등 '가상자산 포괄주의' 도입 검토",,"https://bloomingbit.io/feed/news/105208?cmVmPTAzM0I0Mg%3D%3D정부 당국, 비트코인 등 '가상자산 포괄주의' 도입 검토"
코인판 망해서 다행이네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋ그래야 이 백수새기들이일하러가지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
오랜만에 업비트 들어왔는데 왜이럼?,5,5천간다매 씨발 ㅠ빼야되냐- dc official App
ㄹㅇ개쳐망했구나,,만세!!
진짜 어디까지 떨구기만 할거야 도대체.....,,아니 어느정도 살려줄 희망은 줘야지 설거지만 하고있음 어카라고
롱롱롱~~~! 장대 메로나 두개 뜰끼야!!,,횡보만 하면 되는디!- dc official App
와 ㅋㅋㅋㅋ스테이터 바로 오프로빼버리네 ㅋㅋㅋㅋ,,ㅋㅋ
이더리움 재단에서 튄다는 소문이 있네,,조심하자  - dc official App
ㅋㅋㅋ온통 빨래질ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
7만깨지면 걍좃된거임 ㅇㅇ,,ㅅㄱ                                              - dc official App
슨트 꼽는다 조심하레이 ㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅇ
그래비티는 진짜 ㄹㅇ악질이네 씨발련이 ㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
"트럼프, 이란 폭격준비 완료됐다",,다ㅡㅡㅡㅡ튀ㅡㅡㅡㅡㅡ어ㅡㅡㅡㅡ!!
여기 잉여인간새기들뿐이없어서,,"크,닐"
슨트 간다잇ㅋㅋㅋㅋㅋㅋㅋ,,- dc official App
봇 자전거래뿐이없는거 존나웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅇ
ㅡㅡㅡ 워크넷 / 사람인 / 잡코리아 /알바천국 ㅡㅡㅡㅡ,,
하루빨리 직장알아보거라~~,,거래소가 작정하고 자전거래 봇으로 치대는데니들이 뭔 수로 돈을 번다 카노!
이거 좀 좋아보임,,"Common을 보다 보면,
이 프로젝트는 토큰보다 설계 철학을 먼저 봐야 이해가 된다는 느낌이 든다.곧 출시된다는 Tradeable Markets도
단순히 거래 기능 하나 추가했다기보다는,
커뮤니티 안에서 상장과 거래, 투기까지
모두 자연스럽게 이어지게 만들려는 시도에 가깝다.

이런 구조가 실제로 잘 굴러갈지는 아직 모르겠지만,
적어도 “기존 모델을 그대로 반복하진 않겠다”는 의지는 분명하다.
그래서 지금 단계에서는
수익보다는 실험을 지켜보는 관점이 더 잘 어울린다."
와 좆섬 어마어마하다 봇사기 시발진짜,,ㅇ
수익중인코인,,비트 비캐 이더 엑시 리플 나머진 올 마이너스네
죽은 경찰 이새끼 뒷배에 쿠팡 믿고 쳐들어온거구나ㅎㅎ,,웃긴게 지가 죽을거라고 생각은 못했나 보지?ㅋㅋㅋ 웃음만 나온다경찰들중에 가장 성대하게 추모하던데 역사에 남을 놈이넹
하여튼 이 백수잉여새기들이  문제라니까 ㅋㅋㅋㅋㅋ,,도박충새기들이제 공장가야제~!하모 ㅋㅋㅋ
엔소가 갈거같냐?ㅋㅋㅋㅋㅋ,,뷰웅신들ㅋㅋ
계 단 식 하 락! 내꺼만 하락이면 바라!,,전부 하락이다!! ㅇㅇ ㄹㅇ국장 아무거나 타는게 낫다!- dc official App
엔소출발,,ㅇ
비트 고점대비 -40%,,이더 -55%솔라나 -70%하락은 시작도 안했다
경주마 엔소 확진ㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,- dc official App
그래비티 형들내가사지말랬제 시발코인이라고,,ㅇ
고생했다. 찐반이다.,,자 드가자~ - dc official App
쌀때 사 제발,,풀대출 박아떨어진다고 할때 사야 부자되는거야
코인망했는데 매수 하는 뚜뜨리빠뚜리없제?ㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ없제?
자전거래~봇만 돌아가는거봐라 ㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
오늘 지케이패스 잘봐라 우주간다 ㅋㅋ,,ㅅㄱㅇ
아들 엄마친구아들은 코인하다가 빚이 쌓여서 폐인됐다고 하더라,,우리 아들은 그런거 안하지?
아이부 글로벌 푸시 위해 SM 인수한 셈,,"이 글을 작성하고 올리도록 등 떠밀어주신,ㅋㅋㅇ엔터 불법 바이럴 퇴치를 위해 힘 써주시는뿌팍스님티롱씨님감사드려요^^"
ㅋㅋ바운스토큰은 걍 설거지 대놓고하네 ㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
쥐좆만큼 올라갈려고 하면 바로 다시 내리네,,시발년들아
ㅋㅋ애들 설거지 오지게 당했곘놐ㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
아니 그래서 내리기만 하는 코인을 도대체 왜하는거임?,,다른 자산 다 오를때 혼자 떨구기만 하는데 진짜 왜함?심지어 알트는 3년내내 내리기만 하면서 10토막이상씩 났는데 ㄹㅇ 왜하는건지 참 신기함. 대부분 사람들은 돈벌려고 투자 라는걸 하는건데 코인하는 사람들 보면 돈 잃으면서 쾌감 느끼는 마조들같음 ㅋㅋ
또 자전거래 봇으로만 장난질하겠네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ씨발넘들 ㅠㅠ
"당국 정부 , 비트코인 '가상자산 포괄주의' 도입 검토",,"https://bloomingbit.io/feed/news/105208?cmVmPTAzM0I0Mg%3D%3D당국 정부 , 비트코인 '가상자산 포괄주의' 도입 검토"
지케이싱크 그만 쳐던져라 줘패기전에,,알겠냐  - dc official App
풀대출 박아라,,니인생 마지막 기회야
역시 설거지같아서 관망했는데 ㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋ정답이였네 ㅋㅋㅋㅋ
코인판망했네 진짜였네,,ㅋㅋㅋ
봇 자전거래만 또 돌아가는거봐라 ㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개웃음벨 ㅋㅋ
비ㅡㅡ트ㅡㅡ코ㅡㅡ인ㅡㅡ무ㅡㅡ한ㅡㅡ발ㅡㅡ행ㅡㅡ악ㅡㅡ재,,- dc official App
0원하는 디지털 쪼가리가 1억간거면 많이간거지,,거기서 고작 조금 떨어졌다고 호들갑은 ㅉㅉㅉ
문버드 정리중! 타라!,,ㅇㅇ ㄹㅇ- dc official App
61.39 쟤는 진지하게 병원좀 가봐야할듯,,ㅇㅇ;;  - dc official App
아들 코인하는거아니지? 엄마는 믿어,,ㅜㅜ
코인판이 이렇게 문을닫는구나 ㅠ.ㅠ,,ㅠㅠ
ㅋㅋㅋ펌핑은 1도없고 그냥 싹다 설거지봐 ㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ2
레이디움 100만원 달달하게 먹고 빠진다 ㅋㅋ,,- dc official App
형들시발진짜 그래비트 지금낚이면 죶되,,ㅇ
비트 찐공포네..배까지 아파온다,,-30퍼중..
비케이는 싱크를 던졋고,,- dc official App
그래비트지금낚이면진짜 좃된다,,ㅇ
수고들하시오~오늘도 설거지니까 먼저튄다 ㅋㅋ,,ㅂㅂ2
질리카는 왜 계속 오르는거임? 이유 아시는분?,,뭔 특별한 이유가 있음?
오늘의픽,,"그냥 믿고 살수 있는




커먼임 ㅋㅋㅋ




이제 마켓나오면 떡상각인데




이거 못믿는 친구들?




코인접어라




로드맵 잘 밟아주는 코인이




얼마나 귀중한놈인지




말안해도 알놈들은 아다"
문버드 힘 존네!,,ㅇㅇ ㄹㅇ- dc official App
개설거지장보소 ㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
질리카에 질렷지만,,- dc official App
애미 시발놈의 지케이싱크,,이시발새끼 진짜 - dc official App
잠수패치좀 그만해라 ㅆㅂ,,ㅇㅇ
레이디움 속은 병신있냐? ㅋㅋㅋㅋㅋㅋ,,코접해라 ㅋㅋㅋㅋ  - dc official App
업비트 미췬새끼들 어제 또 UI 바꿔서 렉 존나심해졌네,,ㅅㅂㄴ
그래비티 역중력 500배 ㅋㅋㅋㅋㅋㅋㅋ,,- dc official App
신의타점 얘 믿어도 됨?,,"딥코인, 탭코인 거래소 홍보하는거 같던데얘 보고 배울려고 하는데 믿어도 됨?"
속보) 레이디움 지케이세력 붙음!!!!!,,- dc official App
오늘의 경주마: 빔,,ㅇㅇ
비트 1억깨지는건 당연하거고,,"8천도 꺠질거임







결국 4천까지 밑바닥에서




반등 주고




알트 불장 시작







마지막 코인 불장일거다 그게




이말은 성지 ㅋ"
무슨 비트코인이 역대급 폰지사기냐,,"국가 공인 강제 수금 국민연금이 있어서 비트코인은 꿈도 못 꿈""국민연금? 국가를 위해 냈던 세금인데 내가 뭘 받는다고...그런 푼돈없어도 사는 내가 일등 국민!""""와 멋져요!""- 대한공익광고공사"
매번 말하지만 빗섬 거래소는 이용하지마라,,"자전거래 봇이 업비트 x100배임




호가창 사기에다가




빗섬에서 펌핑나와도




빗섬에서 20~30퍼먹을꺼




업비트에서 풀시드로 1퍼만 먹으면됨







빗섬은 무조건 걸러라 ㅋㅋ"
코인해서 돈 날린사람있음?,,ㅇㅇ ?
문새!,,달새!- dc official App
시즌종료 2030년에보자,,국장이나해  - dc official App
사라,,지금
김지원,,김지원
음 그래그래 내 알트들도 희망없이 계단식으로 계속 떨어지는중이구나,,ㅇ ㅏ
오늘 경주마 정했다,,너네들은 안알랴줘 븅신들 ㅋㅋ  - dc official App
코인 일도안벌리는거같다면 개추,,시바넘하네 ㅜㅜ
지난 석달  전인가  빗썸 에 이런 일이 있었지,,"매일  코인  한두개씩  상장 하고 

설거지  대놓고  하고 

그냥  올려놓고   대놓고 -30% ~ -40% 

수직급락으로  하락  설거지하고




내가 그때  비겔에  이런 글을썻지

빗썸  운영자  이세키들이

  지금 빗썸  계좌에 있는  모든  돈

이   다 자기들  걸로 생각하는거 같다

그런글을  올려 놨는데

지금이 꼭 그상황같다

그냥  개미들   계좌에 있는 돈

어떡하면   빼 먹어버릴까  이궁리만 하는 거 같다

이말이야

악마같은 세끼들이야

악종들"
뭔의미 있냐 오늘도 포켓인데 ㅡ 좁비트는 쓰지마 ㅉㅈ 유의들은 오늘 급락,,ㅋㅋㅋㅋㅌㅌ
비트코인은 그냥 어이가 없다,,"다시봐도 왜이렇게 변동성이 심한지 알 길이 없다. 2000만개라는 한정된수량, 전세계 개인과 기관이 분산보관중이며 갯수는 소실되어가는데 왜이리 우상향자산으로 자리잡지 못하는지 모르겠다, 비트의 나이는 더이상 젊지도않고 이제 성숙할 나이임에도 여전히 극단적으로 꼬라박고 치솟고의 반복이다"
바이비트나 OKX VIP 쓰던 형들 ?,,"바이비트나 OKX VIP 쓰던 형들  비트겟 요율 한 번 봐봐.  나도 옮기기 전엔 설마 했는데,  슬리피지까지 포함한 실질 비용 따져보니까  비트겟이 압도적으로 유리함  - dc official App"
이런 개좆장에 현물로 수익보는중인데,,돈 다뺄가? 좀 무섭네
이번 빅쇼트는 최소 7천까지는 감,,"전재산 , 모든 대출 끌어모아서 레버리지풀로 숏쳐라인생바꿀 마지막기회"
산도깨비 저 친구가 몸만 안 팔았어도 참 좋은 친구였을텐데..,1,그놈의 10만원이 뭐라고..  참 미련하다 저 친구도..
한강갈거면 오늘가셈,,날풀림 ㅇㅇ
결국 전량 매도함,,수익 120퍼까지 갔는데 20으로 매도함 욕심부리다가 제명에 못살거 같아서 이전 매수가 9000되면 분할매수 할란다 무지성으로 3년 모았는데 주식하고는 확실히 다르네  - dc official App
2006년에 너의 모습은 어땠냐?,5,난 폴리좆 대학 다니는 바보같은 20살 이었는데그때하고 지금하고 달라진거 하나도 없다살자 마렵다
맨날 포켓이나 쳐올려 ㅋㅋ 망한 좁비트 ㅋㅋㅋ,,ㄹㄹㄹㄹ
최소한 500까진 떨어져야 진짜 망했다 소리 나오지,1,아직 1억인데 망했다 ㅇㅈㄹ ㅋㅋㅋ
딸ㅡㅡㅡㅡㅡㅡㅡ배ㅡㅡㅡㅡㅡAGAINㅡㅡㅡㅡ2019,,"딱 지금이 2019, 2022년도 좆장 느낌이다뭐 하지마라 딸배나 해라"
비트 그냥 숏을 쳐,,왜 자꾸 현물을사는거야 계단식으로 계속 하악 시키고 있잖아
코인 진짜 개망했네 ㅋㅋ,,안돼 더 망해야돼 ㅋㅋㅋㅋㅋㅋㅋ
트럼프야 진짜 안올리면 죽어;;;;,,너 디시 하는거 안다 보면 올려라  - dc official App
오늘 경주마 빔 ㅇㅇ,,나만 믿으라
병신들이 비트코인하니까 돈을 잃지 ㅎㅎ,,앱스타인 문건 보고도 비트코인 들고 있냐 ㅎㅎ아니 그거 뭔지도 모르는 저능아가 차트만 보고 부화뇌동매매중인건가 ㅎㅎㅎ
코인 개박살 트럼프 암살 당해도 ㅇㅈ이냐,,ㅇㅈ?  - dc official App
비트 안올리면 진짜 뒤져요 형님,,다시 올려놓으세요 트럼프야 돈 놔둬서 뭐하냐  - dc official App
포켓사지마라 아래물량,,없어서 쏟는거 10초면끝난다
하류 4-5프로는,,기본으로 빠지네
비트 제발 올려줘 줘 패기전에;;;,,진짜  - dc official App
포캣 시발 하루종일내리다가,,아침 또쳐올려서 다른거 망치네
워터파크서 삼각빤수 수영복만 입으면은 야해?,,야한 상황이야?
나 23년에 비트 4500때 0.4개 있었음,,1억 가면은 팔았겠지.
포터로 식당에 배달 다니는데,,2억짜리 마으바흐 길막고 소리 지를꺼다
비트 1억 깨지겠노 ㅋㅋㅋㅋ 5천가자,,ㅇㅇ
OKX 쓰시는분 실시간 포지션 공개점 !! 부탁드림 나 맨날 청산당함 ㅜ,,후
이제 김치들이 올려줄거다 가즈아,,형들!  - dc official App
비트말고 다른게 대장이 되면 난리나겠지???,,코인판도 투기목적이 세긴 한데...코인판 대장이 비트가 아니리 다른걸로 바뀌면...난리나려나...
솔라나 43만원 존버한다,1,오겠지 뭐
나폴리는 천프로갈 기사가 없네 ㅡ 끝 거래없음 이제 빠지기만 함,,ㅉㅈㅈㅈㅈ
비트 바겐세일 중... 2억 갑니다 트황이 이란 합의한다 ㄹㅇ,,ㄱㄱㄱ  - dc official App
비트코인 지금사라. 지금이 오를때다,,ㄹㅇ
비트5만달러가면,,비트코인 대량보유기업 채굴업체 다파산이래
비트코인 다음주 이구간에서 매수하세요,,분명 이구간옵니다
보아하니 오늘도 ㅅㅂ 포켓이네 ㅋ ㅡ  나폴리 루프링은 이제 희망없다,,ㅉㅈㅈㅈ
어제 빼고 잤다,,원래 코인은 씹불장 시작되면 들가서대충만 먹고 나와야한다 하락땐쳐다도 보지 말아야하고
솔라나 GG....,,끝이다 끝  - dc official App
코인 현물 살바에는,,로또 사는게 낫다 로또 사봐야 매주 5만원 사서 5천원 당첨되도 한달에 20만원도 안잃어코인은 5일만에 500만원 날렸다- dc official App
비트코인 내일 1억 깨지겠다 ㅋ,,ㅋㅋ
마지막승부다 비케이싱크,,- dc official App
10월 4500만원 간다^^,,어제도 적었지만 2023년때보다 50퍼 상승한 4500만원까진 일단 찍는다역사는 반복되서 3000만찍고 갈수도 있겠지만
코인 0원가는데 여서 머함?,,ㅇㅇ?  - dc official App
여기 비트코 선물거래 하는애들 있냐,,매도친애들은 떼돈벌고 있겠는데
형들 제발 답변해주라,1,신의타점 유튜버 얘 똥꾸렁내 나는데 믿어도 되나?얘 보고 배우려는데 너무 찝찝해..제발 알려줘ㅠㅠ
조정장 크게 들어가면 다 이렇다,,일단 12만에서 40~50%는 빠질거같다6만 이하로 내려가면 과감히 빗코는 끝난거니 손실보더라도 팔아서 100원이라도 건져라 마의 구간인 65000~70000대에서 흔들기하다가 반등 모션 나오면 다시 신고가 경신하러 갈 가능성이 높으니 존버하고
돈 다 날렷노,,이기- dc official App
롱충이들은 빨리 빼라 새벽4시에 -7백까지 떨어진다.,,롱충이 ㅌㅌ 도와줄께 청산방지
비트 원화로 7천까지 간다,,다들 존버
그냥 숏치고 자면 되는데 꼭 반골심리로 롱을 누른다니까 ㅋㅋㅋㅋ,,ㅋㅋㅋㅋ
우리 회사 부장님,2,그저께 300으로 콜옵션 5배 쳤다는데 좆댄거냐?
그냥 작살이 나는구나 ㅡ비트는 유의들도 설거지고 희망없네,,ㅉㅈㅈㅈㅈ
희ㅡ망ㅡ을ㅡ버ㅡ려ㅡ라,,ㅇㅇ
신의타점 얘 믿어도 됨?,,"딥코인, 탭코인 거래소 홍보하는거 같던데얘 보고 배울려고 하는데 믿어도 됨?"
비트코인 ‘죽음의 소용돌이’ 경고… “5만달러 갈 수도”,,"3일(현지시간) 블룸버그통신에 따르면 버리는 서브스택 뉴스레터에서 “비트코인이 주요 지지선을 이탈하면서 막대한 가치 파괴로 이어지는 ‘역겨운 시나리오(sickening scenarios)’가 가시권에 들어왔다”고 말했다.버리는 비트코인이 여기서 10%만 더 하락하면 대량 보유 기업들이 수십억 달러 규모의 손실을 떠안을 수 있고, 이 경우 자본시장에서 자금 조달이 사실상 막힐 수 있다고 바라봤다. 대표 사례로 마이크로스트래티지(Strategy Inc.)를 지목했다. 마이크로스트래티지는 2020년 이후 비트코인을 대규모로 매수해 최대 보유 상장사로 불린다."
비트코인 전문 투자기업 있지 않았냐?,,스트래티지인가 뭔가 하는 놈들기업 임원들 회장 싹다 손잡고 워싱턴 앞바다 다이브 해야하는거 아니냐?
장난 치지말고 최근 1년간 돈 잃은사람이 존재함?,,어떻게보면 그것도 상위1% 실력인데;;;
비트 개박살나네 진짜 왜그러냐,1,하퓨ㅠㅠㅠㅠㅠㅠㅠㅠ  - dc official App
비트는 원화로 8000까진 가야지,1,1억도 거품임  - dc official App
청산 값 72k,1,1틱으로 살았다
내생각엔 비트코인 역대급 폰지사기로 남을거같음,,죄다 비트는 저점찍고 신고점 4년뒤 도달한다는데 그공식을 깨버리고 알고보니 무한발행가능했고 0원수렴될때까지 모든개미. 돈 다빼앗고 코인시장 막을내리는거아님? 메이저고 잡알트고 다 상폐차트인데 ㄹㅇ  - dc official App
전 아무 걱정 안 합니다.,,코인이 없기 때문에 걱정도 없죠?
비트코인 1억 이하 꼬라박겟네 ㅋㅋ,,대하락장의 시작
바이낸스 입금 안되는데 도와주세요,2,오랜만에 해서 까먹음업비트에서 바이낸스 보냈는데 계속 conforming이라고만뜨네
수익중인코인,,비트 비캐 이더 엑시 리플 나머진 올 마이너스네
비트 굴리다 홀덤으로 넘어간 썰,,요즘 비트 존나 횡보라 차트만 쳐다보기 지겨워서 뭐할까 하다가 홀덤 시작함ㅋㅋ 원래 포커 같은거 관심도 없었는데 친구가 k포커 어쩌고 하면서 프리롤 개많다고 꼬드겨서 그냥 한번 해봤음처음엔 룰도 모르고 시작했는데 초보방 따로 있어서 거기서 좀 배우다보니까 감이 오더라 튜토리얼도 있어서 완전 초짜도 할만함. 근데 이게 은근 중독성 있어서 문제임 ㅅㅂ어제 새벽 3시까지 하다가 퇴근하고 또 켬ㅋㅋㅋ 비트 물려있는것보단 낫다는 마인드로 하는중. 근데 진짜 사람 많아서 방 고르기 편한건 좋음. 뭐 크게 딸거 같진 않지만 그냥 심심풀이로 괜찮네지금 생각해보니 비트로 홀덤 하는게 더 효율적일수도? 어차피 코인 묵혀두는것도 답답한데 말이지
진짜돈으로왜가짜돈을사냐고ㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋ
코인 유튜버,,이 미친놈들 이렇게 꼴아박을동안계속 올라간다고 외치면서 회원료 받아먹다니
노트코인 시즌종료 ㅋㅋ,,ㅋㅋ
전업투자자 계좌 -30%찍혔다......,,
